Title,Author,Publisher,Subjects,item_id,Subjects_list
amsterdam rotterdam delft et la haye 20242025,unknown author,hachette livre,amsterdam paysbas; amsterdam paysbas région; rotterdam paysbas; delft paysbas; la haye paysbas; guides touristiques et de visite,18,"['amsterdam paysbas', ' amsterdam paysbas région', ' rotterdam paysbas', ' delft paysbas', ' la haye paysbas', ' guides touristiques et de visite']"
paysbas,unknown author,michelin,paysbas; guides touristiques et de visite,19,"['paysbas', ' guides touristiques et de visite']"
amsterdam,catling christopher,national geographic,amsterdam paysbas; guides touristiques et de visite,20,"['amsterdam paysbas', ' guides touristiques et de visite']"
histoire des etatsunis,durpaire françois,presses universitaires de france,étatsunishistoire,21,['étatsunishistoire']
cest psy non hormonal comprendre ses hormones pour se sentir mieux,gluck marion,larousse,santé mentale; hormones femelles; femmessanté et hygiène,22,"['santé mentale', ' hormones femelles', ' femmessanté et hygiène']"
cest mon corps toutes les questions que se posent les femmes sur leur santé,winckler martin,liconoclaste,womens health; sexuality; reproductive physiological phenomena; contraception; professionalpatient relations; sexualité féminine; vie sexuellefemmes; féminité; femmessanté et hygiène; gynécologie; guides pratiques,23,"['womens health', ' sexuality', ' reproductive physiological phenomena', ' contraception', ' professionalpatient relations', ' sexualité féminine', ' vie sexuellefemmes', ' féminité', ' femmessanté et hygiène', ' gynécologie', ' guides pratiques']"
le sentiment de justice dans les relations sociales,kellerhals jean 1941,presses universitaires de france,justicerelations sociales; justice distributiverelations sociales; justice sociale; équitégroupejusticenorme sociale,24,"['justicerelations sociales', ' justice distributiverelations sociales', ' justice sociale', ' équitégroupejusticenorme sociale']"
scapade pédagogique avec les jeux dévasion apprendre grâce aux escape games de la maternelle à la formation dadultes,fenaert mélanie,ellipses,gamification; apprentissage par le jeu; jeux éducatifs; jeux dévasion; guides pratiques,25,"['gamification', ' apprentissage par le jeu', ' jeux éducatifs', ' jeux dévasion', ' guides pratiques']"
pays basque france espagne et navarre,unknown author,michelin,pays basque espagne; navarre française france; navarre espagne; pays basque france; guides touristiques et de visite,26,"['pays basque espagne', ' navarre française france', ' navarre espagne', ' pays basque france', ' guides touristiques et de visite']"
le rapport de brodeck,larcenet manu,unknown publisher,bandes dessinées,27,['bandes dessinées']
hanbok,darcq sophie 1976,lapocalypse,bandes dessinées; adoption internationalebandes dessinees; recits de voyages francaiscoree2000; bandes dessinees autobiographiquesfrance2000; bandes dessinees autobiographiques,28,"['bandes dessinées', ' adoption internationalebandes dessinees', ' recits de voyages francaiscoree2000', ' bandes dessinees autobiographiquesfrance2000', ' bandes dessinees autobiographiques']"
philosophia une histoire de la philosophie en bd,tenaillon nicolas,ellipses,philosophes; philosophie; philosophiehistoire; bandes dessinées,29,"['philosophes', ' philosophie', ' philosophiehistoire', ' bandes dessinées']"
chaussettes 20 modèles à tricoter toute lannée,laitinen niina 19,la plage,bas et chaussettes; tricotmodèles; manuels damateurs,30,"['bas et chaussettes', ' tricotmodèles', ' manuels damateurs']"
tricoter ses chaussettes les techniques pour débuter de 20 modèles pour se lancer,johnson wendy,eyrolles,bas et chaussettestricotmodèles; guides pratiques,31,"['bas et chaussettestricotmodèles', ' guides pratiques']"
le metier de sociologue prealables epistemologiques,bourdieu pierre,editions ehess,sociologues; sociologieméthodologie; sociologiepratique; épistémologie de la sociologie; sociologymethodology; sociologiemethodologie,32,"['sociologues', ' sociologieméthodologie', ' sociologiepratique', ' épistémologie de la sociologie', ' sociologymethodology', ' sociologiemethodologie']"
le dahlia noir,matz,payot rivages; casterman,bandes dessinées,33,['bandes dessinées']
le bleu est une couleur chaude,maroh julie,glénat,homosexualité; lesbianisme; bandes dessinées,34,"['homosexualité', ' lesbianisme', ' bandes dessinées']"
dictionnaire de la pensée politique idées doctrines et philosophes,nay olivier 1968,armand colin,idées politiques; philosophie politique; doctrine politiquedictionnaire; science politiquedictionnaire; philosophie politiquedictionnaire; dictionnaires,35,"['idées politiques', ' philosophie politique', ' doctrine politiquedictionnaire', ' science politiquedictionnaire', ' philosophie politiquedictionnaire', ' dictionnaires']"
roger et ses humains,paka 1985,dupuis,robots; ouvrages pour la jeunesse; bandes dessinées,36,"['robots', ' ouvrages pour la jeunesse', ' bandes dessinées']"
simenon lostrogoth,bocquet josélouis,dargaud,bandes dessinées; simenon georges,37,"['bandes dessinées', ' simenon georges']"
geostrategix,boniface pascal,dunod,geopolitique; relations internationales; bandes dessinées,38,"['geopolitique', ' relations internationales', ' bandes dessinées']"
partir sur les chemins de compostelle,sohn lili,casterman,chemins de saintjacques,39,['chemins de saintjacques']
peau dhomme,hubert 1971,glénat,mariages royaux et noblesrenaissance; différences entre sexes; bandes dessinées,40,"['mariages royaux et noblesrenaissance', ' différences entre sexes', ' bandes dessinées']"
morgane,fert stéphane,delcourt,bandes dessinées,41,['bandes dessinées']
le monde de sophie,zabus vincent 1971,albin michel,philosophie; bandes dessinées,42,"['philosophie', ' bandes dessinées']"
suisse,unknown author,michelin,suisse; guides touristiques et de visite,43,"['suisse', ' guides touristiques et de visite']"
tokyo tarareba girls,higashimura akiko 1975,le lézard noir,bandes dessinées; mangas,44,"['bandes dessinées', ' mangas']"
yotsuba,azuma kiyohiko,kurokawa,mangasjapon; bandes dessinées; ouvrages pour la jeunesse; mangas,45,"['mangasjapon', ' bandes dessinées', ' ouvrages pour la jeunesse', ' mangas']"
le monde sans fin,jancovici jeanmarc,dargaud,climate change; environmental health; environment and public health; energygenerating resources; graphic novel; changements climatiques; changement global de lenvironnement; ressources énergétiques; vulgarisation scientifique; transition énergétique; réchauffement de la terre; bandes dessinées,46,"['climate change', ' environmental health', ' environment and public health', ' energygenerating resources', ' graphic novel', ' changements climatiques', ' changement global de lenvironnement', ' ressources énergétiques', ' vulgarisation scientifique', ' transition énergétique', ' réchauffement de la terre', ' bandes dessinées']"
la fille à la moto,suzuki ôji,atrabile editions,unknown subjects,47,['unknown subjects']
seuls en exil,menor fabian,helvetiq,immigréssuisse; bandes dessinées,48,"['immigréssuisse', ' bandes dessinées']"
coming in,font elodie,arte editions; editions payot rivages,homosexualitypsychology; homosexuality femalepsychology; self concept; graphic novel; homosexualité; coming out; acceptation de soi; lesbianisme; lesbiennes; romans graphiques,49,"['homosexualitypsychology', ' homosexuality femalepsychology', ' self concept', ' graphic novel', ' homosexualité', ' coming out', ' acceptation de soi', ' lesbianisme', ' lesbiennes', ' romans graphiques']"
les héros de létoffe la fabuleuse histoire du textile,laliberté séverine 1973,cité sciences et industrie; steinkis,vêtementshistoire; modehistoire; textiles et tissushistoire; bandes dessinées,50,"['vêtementshistoire', ' modehistoire', ' textiles et tissushistoire', ' bandes dessinées']"
le bébé des butteschaumont,tardi jacques,casterman,bandes dessinées,51,['bandes dessinées']
ascension,sakamoto shinichi 1972,delcourt,bandes dessinées; mangas,52,"['bandes dessinées', ' mangas']"
fullmetal alchemist,arakawa hiromu 1973,kurokawa,shônen; mangas; bandes dessinées,53,"['shônen', ' mangas', ' bandes dessinées']"
pil,yamazaki mari,casterman,bandes dessinées; mangas,54,"['bandes dessinées', ' mangas']"
goan tau chez moi,lichin li 1973,ca et la,bandes dessinées,55,['bandes dessinées']
soixante printemps en hiver,jongh aimée de 1988,dupuis,minorités sexuelles; bandes dessinées,56,"['minorités sexuelles', ' bandes dessinées']"
python pour les shs introduction à la programmation pour le traitement de données,schultz emilien 1987,presses universitaires de rennes,sciences humainesrechercheinformatique; sciences socialesinformatique; python langage de programmation; python computer program language,57,"['sciences humainesrechercheinformatique', ' sciences socialesinformatique', ' python langage de programmation', ' python computer program language']"
a silent voice,oima yoshitoki 1989,kioon,surdité; harcèlement en milieu scolaire; mangas; bandes dessinées,58,"['surdité', ' harcèlement en milieu scolaire', ' mangas', ' bandes dessinées']"
lappel de néron,yamazaki mari,castermann,bandes dessinées,59,['bandes dessinées']
connaissezvous vraiment internet protocoles sécurité censure gouvernance,unknown author,editions eyrolles,internet; internetgestion; internetdroit; systèmes informatiquesmesures de sûreté,60,"['internet', ' internetgestion', ' internetdroit', ' systèmes informatiquesmesures de sûreté']"
hoodoo darlin,bischoff léonie,kstrcasterman,bandes dessinées,61,['bandes dessinées']
les médias en suisse,haver gianni,editions loisirs et pédagogie,médiassuisse; médias et opinion publique; société médiatique; médiashistoire,62,"['médiassuisse', ' médias et opinion publique', ' société médiatique', ' médiashistoire']"
bonjour bonsoir,vamille,la joie de lire,bandes dessinées,63,['bandes dessinées']
journal inquiet distanbul,karabulut ersin,dargaud,bandes dessinées,64,['bandes dessinées']
le design des bibliothèques publiques,beudon nicolas,editions klog,libraries; architecture; marchandisage; bibliothèques publiques; bibliothèquesactivités culturelles; bibliothèquesservices aux publics; bibliothèques constructionsaménagement,65,"['libraries', ' architecture', ' marchandisage', ' bibliothèques publiques', ' bibliothèquesactivités culturelles', ' bibliothèquesservices aux publics', ' bibliothèques constructionsaménagement']"
contrition,portela carlos 1967,denoël,délinquants sexuels; bandes dessinées policières; bandes dessinées,66,"['délinquants sexuels', ' bandes dessinées policières', ' bandes dessinées']"
les contraceptés enquête sur le dernier tabou,daudin guillaume,steinkis,contraceptive devices male; contraception; contraception masculine; bandes dessinées; graphic novel,67,"['contraceptive devices male', ' contraception', ' contraception masculine', ' bandes dessinées', ' graphic novel']"
formose,lichin li 1973,cà et là,bandes dessinées,68,['bandes dessinées']
les mers du sud,migoya hernán,dargaud,bandes dessinées,69,['bandes dessinées']
fudafudak lendroit qui scintille,lichin li 1973,cà et là,bandes dessinées; amis taiwan people; comic books strips etc; graphic novels; taiwan aboriginessocial life and customs; amis taiwan peoplecomic books strips etc; taiwan aboriginessocial life and customscomic books strips etc; comic books strips etctaiwan; graphic novelstaiwan; ami peuple de taiwanbandes dessinées; autochtonestaiwanmœurs et coutumesbandes dessinées; romans graphiquestaiwan; taiwan; comics graphic works,70,"['bandes dessinées', ' amis taiwan people', ' comic books strips etc', ' graphic novels', ' taiwan aboriginessocial life and customs', ' amis taiwan peoplecomic books strips etc', ' taiwan aboriginessocial life and customscomic books strips etc', ' comic books strips etctaiwan', ' graphic novelstaiwan', ' ami peuple de taiwanbandes dessinées', ' autochtonestaiwanmœurs et coutumesbandes dessinées', ' romans graphiquestaiwan', ' taiwan', ' comics graphic works']"
les sentiments du prince charles,strömquist liv 1978,rackham,relations hommesfemmes; bandes dessinées,71,"['relations hommesfemmes', ' bandes dessinées']"
le savoirvivre professionnel conseils pratiques et usages en suisse,abplanalp susanne,editions loisirs et pédagogie,sociologie du travail; relations professionnellessuisse20e siècle; relations humaines; savoirvivreguides pratiques,72,"['sociologie du travail', ' relations professionnellessuisse20e siècle', ' relations humaines', ' savoirvivreguides pratiques']"
le droit du travail en suisse 90 questionsréponses issues de la pratique,schwaab jean christophe 1979,lep loisirs et pédagogie,droit du travailsuisse; arbeitsrecht; arbeitsvertrag; schweiz; lehrmittel; guides pratiques,73,"['droit du travailsuisse', ' arbeitsrecht', ' arbeitsvertrag', ' schweiz', ' lehrmittel', ' guides pratiques']"
turing à la plage lintelligence artificielle dans un transat,guerraoui rachid,dunod,informatique quantique; turing alan; intelligence artificielle,74,"['informatique quantique', ' turing alan', ' intelligence artificielle']"
gto great teacher onizuka,fujisawa tohru,pika,bandes dessinées; mangas,75,"['bandes dessinées', ' mangas']"
silver spoon la cuillère dargent,arakawa hiromu 1973,kurokawa,bandes dessinées; mangas,76,"['bandes dessinées', ' mangas']"
ici,mcguire richard,gallimard,bandes dessinées,77,['bandes dessinées']
fullmetal alchemist,arakawa hiromu 1973,kurokawa,bandes dessinées; mangas,78,"['bandes dessinées', ' mangas']"
la vierge de fer,kishiro yukito,glénat,bandes dessinées; mangas,79,"['bandes dessinées', ' mangas']"
erased,sanbe kei,kioon,mangas; bandes dessinées,80,"['mangas', ' bandes dessinées']"
kokkoku,horio seita,glénat,bandes dessinées; mangas,81,"['bandes dessinées', ' mangas']"
voleuse,bryon lucie,sarbacane,bandes dessinées,82,['bandes dessinées']
lora del caffè manuale di conversazione per generazioni incompatibili,carofiglio gianrico 1961,einaudi,unknown subjects,83,['unknown subjects']
tombée dune autre planète daprès les aventures indécentes de patricia highsmith,ellis grace 19,editions calmannlévy,bandes dessinées,84,['bandes dessinées']
monsieur remarquable,tokarczuk olga,format,unknown subjects,85,['unknown subjects']
kimchi baguette journal de bord dune coréenne en france,silki 1993,dargaud,bandes dessinées,86,['bandes dessinées']
océan express,ayroles françois,lassociation,bandes dessinées,87,['bandes dessinées']
le petit robot de bois et la princesse bûche,gauld tom,lécole des loisirs,robots; frères et soeurs; livres dimages,88,"['robots', ' frères et soeurs', ' livres dimages']"
la mort nest que le début de lenquête du médecin légiste,grabherr silke,favre,médecine légale; thanatologie; cadavres; forensic medicinetrends; autopsymethods; switzerland,89,"['médecine légale', ' thanatologie', ' cadavres', ' forensic medicinetrends', ' autopsymethods', ' switzerland']"
the talk tu seras toujours un danger à leurs yeux,bell darrin 19,julliard,bandes dessinées; conditions socialesétatsunis; noirs américainsviolence envers,90,"['bandes dessinées', ' conditions socialesétatsunis', ' noirs américainsviolence envers']"
kaiju n8,matsumoto naoya,kazé,shônen; mangas,91,"['shônen', ' mangas']"
le sablier,ashihara hinako,kana,bandes dessinées; mangas,92,"['bandes dessinées', ' mangas']"
hirayasumi,shinzo keigo 1987,le lezard noir,mangas; mangas,93,"['mangas', ' mangas']"
que faire de lintelligence artificielle petite histoire critique de la raison artificielle,garcía vivien 1983,payot rivages,intelligence artificielle,94,['intelligence artificielle']
akane banashi,suenaga yuki 19,kioon,mangas; mangas,95,"['mangas', ' mangas']"
des maux a dire,lema beatriz 1985,sarbacane,bandes dessinées; mères et filles; maladies mentales; récits personnels; romans graphiques,96,"['bandes dessinées', ' mères et filles', ' maladies mentales', ' récits personnels', ' romans graphiques']"
il y a longtemps que je taime,spénale marie,casterman,bandes dessinées,97,['bandes dessinées']
regarde les lumières mon amour,ernaux annie,seuil,unknown subjects,98,['unknown subjects']
peau,versyp mieke 1965,ca et la,bandes dessinees; romans graphiques,99,"['bandes dessinees', ' romans graphiques']"
fruits basket une corbeille de fruits,takaya natsuki,delcourt,shojo; bandes dessinées; ouvrages pour la jeunesse; mangas,100,"['shojo', ' bandes dessinées', ' ouvrages pour la jeunesse', ' mangas']"
orange,takano ichigo,akata,mangas,101,['mangas']
manifeste cyborg et autres essais sciences fictions féminismes,haraway donna jeanne,exils editeur,anthropologie physique; sciences et société; théorie féministe; technologieaspect social; féminismeétudes diverses; cultureféminismenaturescienceétudes diverses; technologie; identité sexuelle; race,102,"['anthropologie physique', ' sciences et société', ' théorie féministe', ' technologieaspect social', ' féminismeétudes diverses', ' cultureféminismenaturescienceétudes diverses', ' technologie', ' identité sexuelle', ' race']"
bride stories,mori kaoru,kioon,mariage forcéasie centrale; voyage; mangas,103,"['mariage forcéasie centrale', ' voyage', ' mangas']"
la littérature une infographie,gefen alexandre professeur de littérature 1970,cnrs éditions,litteraturehistoire; data visualisation; ouvrages illustres; ouvrages de vulgarisation,104,"['litteraturehistoire', ' data visualisation', ' ouvrages illustres', ' ouvrages de vulgarisation']"
avec toi,nishi keiko 19,akata,mangas,105,['mangas']
adieu eri,fujimoto tatsuki,crunchyroll,mangas,106,['mangas']
a schiovere vocabolario napoletano di effetti personali,de luca erri 1950,feltrinelli,napolitain dialecte; vocabulaires et manuels de conversation,107,"['napolitain dialecte', ' vocabulaires et manuels de conversation']"
love fragrance,yamada kintetsu 19,kana,mangas,108,['mangas']
daido moriyama,moriyama daido 1938,actes sud,moriyama daido,109,['moriyama daido']
the ancient magus bride,yamazaki koré,komikku,mangas; bandes dessinées,110,"['mangas', ' bandes dessinées']"
love lies,musawo,pika éd,bandes dessinées; mangas,111,"['bandes dessinées', ' mangas']"
amanchu,amano kozue,kioon,bandes dessinées; mangas,112,"['bandes dessinées', ' mangas']"
eclats dâme,kamatani yuhki,akata,transidentité; violence psychologique; minorités sexuelles; shônen; mangas,113,"['transidentité', ' violence psychologique', ' minorités sexuelles', ' shônen', ' mangas']"
bâtard,kim carnby 19,kioon,bandes dessinées; mangas,114,"['bandes dessinées', ' mangas']"
amour sexe et terre promise reportage en israël et palestine,parentrachdi salomé,les arènes,relations juifsarabes; conflit israéloarabe; récits personnels; bandes dessinées,115,"['relations juifsarabes', ' conflit israéloarabe', ' récits personnels', ' bandes dessinées']"
super furax,bertschy christophe,dupuis,bandes dessinées,116,['bandes dessinées']
la petite fille boiscaïman,bourgeon françois,12 bis,bandes dessinées historiques,117,['bandes dessinées historiques']
le sang des cerises,bourgeon françois,delcourt,bandes dessinées historiques,118,['bandes dessinées historiques']
un ami tombé du ciel,lallemand orianne 1972,editions auzou,livres dimages,119,['livres dimages']
la petite bûche,escoffier michaël,éditions deux,création littéraire; animaux des forêts; livres dimages,120,"['création littéraire', ' animaux des forêts', ' livres dimages']"
le veilleur de lune,bombace aurélie,gautierlanguereau,unknown subjects,121,['unknown subjects']
schtinki un sanglier au caractère de cochon inspiré dune histoire vraie,giorgini victoria,lunidea,unknown subjects,122,['unknown subjects']
cachelune,puybaret eric,gautierlanguereau,lune; entraide; vol,123,"['lune', ' entraide', ' vol']"
monsieur paul et le poisson alfred,neeman sylvie 1963,lecole des loisirs,amitie; deserts; roman pour la jeunesse; livres illustres pour enfants,124,"['amitie', ' deserts', ' roman pour la jeunesse', ' livres illustres pour enfants']"
le voleur de lettres,torti dominique,editions torti,lectureétude et enseignement primaire; apprentissage de lécriture; ouvrages pour la jeunesse,125,"['lectureétude et enseignement primaire', ' apprentissage de lécriture', ' ouvrages pour la jeunesse']"
je revenais des autres roman,da costa mélissa,albin michel,roman,126,['roman']
recitatif a story,morrison toni 19312019,alfred a knopf,unknown subjects,127,['unknown subjects']
hamnet,ofarrell maggie,belfond,roman historique,128,['roman historique']
énigmes au coeur de la science résous 25 mystérieuses affaires,gallo ana,saltimbanque éditions,livres documentaires pour la jeunesse; sciencesexpériences pour la jeunesse; livresjeux,129,"['livres documentaires pour la jeunesse', ' sciencesexpériences pour la jeunesse', ' livresjeux']"
peau de mille bêtes,fert stéphane,delcourt,bandes dessinées; femmesconditions sociales; contes détournés,130,"['bandes dessinées', ' femmesconditions sociales', ' contes détournés']"
carbone silicium,bablet mathieu 1987,ankama,intelligence artificielle; bandes dessinées de sciencefiction; bandes dessinées,131,"['intelligence artificielle', ' bandes dessinées de sciencefiction', ' bandes dessinées']"
saga,vaughan brian k,urban comics,bandes dessinées,132,['bandes dessinées']
tant que le café est encore chaud roman,kawaguchi toshikazu 1971,albin michel,roman,133,['roman']
le génie des dys être dys et haut potentiel à la fois,habib michel,editions sciences humaines,dyspraxie; dyslexie; surdoués; troubles de lapprentissage; enfants surdoués; enfants dyslexiques,134,"['dyspraxie', ' dyslexie', ' surdoués', ' troubles de lapprentissage', ' enfants surdoués', ' enfants dyslexiques']"
en vadrouille dans aventicum,tissot lucile archéologue,infolio,rome30 av jc476 empire; ouvrages pour la jeunesse; avenches suisse vd; galloromainssuisse; sites archéologiques,135,"['rome30 av jc476 empire', ' ouvrages pour la jeunesse', ' avenches suisse vd', ' galloromainssuisse', ' sites archéologiques']"
et dieu riait beaucoup roman,sfar joann,albin michel,unknown subjects,136,['unknown subjects']
vaud,jobétruffé virginie,auzou,vaud suisse; livres documentaires pour la jeunesse; atlas; ouvrages pour la jeunesse,137,"['vaud suisse', ' livres documentaires pour la jeunesse', ' atlas', ' ouvrages pour la jeunesse']"
miracle à la combe aux aspics,tomić ante,noir sur blanc,unknown subjects,138,['unknown subjects']
un miracle roman,mas victoria,albin michel,unknown subjects,139,['unknown subjects']
habibi,thompson craig 1975,casterman,bandes dessinées,140,['bandes dessinées']
lillusion du mal roman,pulixi piergiorgio 1982,gallmeister,unknown subjects,141,['unknown subjects']
oublier gabriel,yoakimpasquier karine,editions torticolis et frères,roman suisse de langue française,142,['roman suisse de langue française']
larmes de renard,salvadore matteo 2001,plaisir de lire,roman policier suisse de langue française,143,['roman policier suisse de langue française']
le monstre poilu,bichonnier henriette,gallimard jeunesse,monstres; roman pour la jeunesse,144,"['monstres', ' roman pour la jeunesse']"
elles roman,de céspedes alba,gallimard,unknown subjects,145,['unknown subjects']
ne coupez jamais la poire en deux un manuel redoutable pour négocier gagnant par un négociateur du fbi,voss christopher,belfond,négociations; relations humaines; guides pratiques,146,"['négociations', ' relations humaines', ' guides pratiques']"
la couleur des émotions un livre tout animé,llenas anna,quatre fleuves,émotions; couleurs; sens et sensations; livres animés; ouvrages pour la jeunesse; ouvrages pour la jeunesse,147,"['émotions', ' couleurs', ' sens et sensations', ' livres animés', ' ouvrages pour la jeunesse', ' ouvrages pour la jeunesse']"
grèce continentale îles ioniennes et sporades 20222023,unknown author,hachette,grèce; guides touristiques et de visite,148,"['grèce', ' guides touristiques et de visite']"
lettre à mon dictateur,eugène 1969,editions slatkine,roumainssuisse; roman suisse de langue française; biographie,149,"['roumainssuisse', ' roman suisse de langue française', ' biographie']"
escape game au manoir,lescaille nathalie,bayard jeunesse,unknown subjects,150,['unknown subjects']
le loup en slip se les gèle méchamment,lupano wilfrid,dargaud bénélux,bandes dessinées,151,['bandes dessinées']
le loup en slip,lupano wilfrid,dargaud benelux,loup; bandes dessinées; ouvrages pour la jeunesse,152,"['loup', ' bandes dessinées', ' ouvrages pour la jeunesse']"
ceux qui restent,lupano wilfrid,dargaud benelux,bandes dessinées,153,['bandes dessinées']
lucine et enzo ou le parcours dun enfant atypique,emma dessinatrice 1981,massot editions,trouble déficitaire de lattention avec ou sans hyperactivité; livres documentaires,154,"['trouble déficitaire de lattention avec ou sans hyperactivité', ' livres documentaires']"
celui qui part,lupano wilfrid,dargaud benelux,bandes dessinées,155,['bandes dessinées']
bonny and pierrot,lupano wilfrid,dargaud benelux,bandes dessinées,156,['bandes dessinées']
mon cerveau a besoin de lunettes le tdah expliqué aux enfants,vincent annick 1965,les éditions de lhomme,trouble déficitaire de lattention avec ou sans hyperactivité; troubles de lattentionthérapeutique,157,"['trouble déficitaire de lattention avec ou sans hyperactivité', ' troubles de lattentionthérapeutique']"
le loup en slip slip hip hip,lupano wilfrid,dargaud benelux,loup; animaux des forêts; bandes dessinées,158,"['loup', ' animaux des forêts', ' bandes dessinées']"
le coeur en braille,chamblain joris 1984,dargaud,bandes dessinées; adolescentes handicapées; handicap; cécité,159,"['bandes dessinées', ' adolescentes handicapées', ' handicap', ' cécité']"
mon cerveau a encore besoin de lunettes le tdah chez les adolescents et les adultes guide pratique pour mieux vivre avec le trouble du déficit de lattention avec ou sans hyperactivité,vincent annick 1965,les éditions de lhomme,troubles de lattentiondiagnostic; troubles de lattentionthérapeutique; troubles de lattentionaspect génétique; troubles de lattentionchez ladolescent; thérapie comportementale pour adolescents; trouble déficitaire de lattention avec ou sans hyperactivité; trouble déficitaire de lattention chez ladulteouvrages de vulgarisation; trouble déficitaire de lattention chez ladolescentouvrages de vulgarisation; trouble déficitaire de lattentiontraitementouvrages de vulgarisation; guides pratiques,160,"['troubles de lattentiondiagnostic', ' troubles de lattentionthérapeutique', ' troubles de lattentionaspect génétique', ' troubles de lattentionchez ladolescent', ' thérapie comportementale pour adolescents', ' trouble déficitaire de lattention avec ou sans hyperactivité', ' trouble déficitaire de lattention chez ladulteouvrages de vulgarisation', ' trouble déficitaire de lattention chez ladolescentouvrages de vulgarisation', ' trouble déficitaire de lattentiontraitementouvrages de vulgarisation', ' guides pratiques']"
darwin,clot christian,glénat,darwin charles robert; bandes dessinées,161,"['darwin charles robert', ' bandes dessinées']"
vanité,freudiger reynald,editions de laire,roman suisse de langue française,162,['roman suisse de langue française']
ceci nest pas un fait divers roman,besson philippe,julliard,roman,163,['roman']
lattaque des citrouilles,balpe annegaëlle,nathan,unknown subjects,164,['unknown subjects']
mouches,richoz mélanie,éditions slatkine,alzheimer maladie d,165,['alzheimer maladie d']
alexandra davidnéel les chemins de lhassa,perrissin christian,glénat,davidnéel alexandra; tibet chine20e siècledécouverte et exploration; bandes dessinées,166,"['davidnéel alexandra', ' tibet chine20e siècledécouverte et exploration', ' bandes dessinées']"
